,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,avg,upper,lower,side,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,rsi,kdj_k,kdj_d,srsi,cci,williams,sma
39846,2020-07-25 18:00:00,286017,9688.49,9688.49,9661.5,9661.5,969.416404,662.961374,2,9383909.914730258,9617.238442979184,9685.291406480794,9549.185479477574,-1.0,-0.0024830804652290484,-0.0015336377183935435,-0.0023532959050174274,0.002492352772716533,0.0059399549167311605,-0.0024861684223491665,0.002047330210882541,-0.030689783865248073,-0.0673098163896879,-0.16403308758485646,-0.0274916374958479,0.13880669990730418,0.0009513534778502475,-0.0008212543131929095,0.004845321270293468,0.0034331309221098394,0.0005519798511279816,9649.822857142866,9614.328000000114,73.0,78.03011803011827,88.67599611092892,55.93652589556392,114.22011588788452,-21.969881969881726,1.0
39847,2020-07-25 18:15:00,286020,9667.19,9667.19,9663.05,9663.05,801.7620290000001,585.2973440000002,3,7750069.56052159,9621.403129981078,9689.373371444433,9553.432888517722,-1.0,0.00016043057496251123,-0.002323048252293347,-0.0013734531858120569,-0.0021932428706701312,0.0026531831972673725,0.00016041770735419902,0.0019942100782160597,-0.03589105594895758,-0.026291372556508687,-0.15845447041588856,-0.041073645254428595,0.14061020736711233,-0.0024861684223491665,0.0009513534778502475,-0.0008212543131929095,0.004845321270293468,0.0034331309221098394,9658.95142857144,9620.245333333445,73.0,79.29181929181894,85.00011139795934,56.682086638583876,92.07108854744199,-20.70818070818106,1.0
39853,2020-07-25 21:00:00,286053,9708.66,9718.05,9708.66,9718.05,816.55741,360.79767999999996,3,7930259.52224468,9652.91540219675,9731.714768810642,9574.116035582858,-1.0,-0.0005635813331168471,0.003065537475421376,0.0042056968074937195,0.004512946035874155,0.0060718057022175476,-0.0005637402047700135,0.0020303369380329454,-0.0464220916351874,-0.007687956391874602,-0.1431734227849577,-0.05595070360400835,0.07704104866204793,0.003624588500978021,0.0011360292871422928,0.00030591564614823596,0.0015506533383931043,-0.00037779888610600665,9686.30285714287,9662.722666666781,83.0,96.04703166702637,96.62275580662411,63.64630193833569,102.61468502643001,-3.952968332973629,1.0
39873,2020-07-26 08:00:00,286185,9727.01,9727.01,9708.11,9708.11,785.444172,0.0,3,7631958.90479436,9685.306628580214,9731.252308828503,9639.360948331925,-1.0,-0.00233484707882059,0.00016792905358076204,0.001731444497298229,0.0018141422605368884,0.0023996191998447713,-0.0023375770845195376,0.0016661907327286181,-0.013979326610106117,-0.07383463166767291,-0.12361002730986757,0.023565844108356666,-0.0535219303963197,0.0025054920395959357,0.0015620323201872566,8.255141668023214e-05,0.0005842460192830856,0.0010289374030829634,9698.15142857144,9684.31066666678,81.0,69.28899702622401,89.5361962604242,53.420244355446236,112.34270601916033,-30.71100297377599,1.0
39877,2020-07-26 08:55:00,286196,9770.04,9770.04,9770.04,9770.04,732.767815,732.767815,1,7159170.863262601,9706.877400847083,9770.09979531789,9643.655006376275,-1.0,0.0006442196901805808,0.002811350094686915,0.004078989964389823,0.006379202543028484,0.004029461001785251,0.0006440122697544126,0.0016735504553067355,-0.012388484518432472,-0.006838997728880831,-0.10587819577982051,0.013035311844543998,-0.034809646603356184,0.00216339337135274,0.0012632877970304435,0.0022882481126789145,-0.0023375770845195376,0.0025054920395959357,9736.030000000013,9705.342666666782,90.0,100.0,99.99999999999862,58.524998534922844,158.82174616949362,-0.0,1.0
39881,2020-07-26 10:00:00,286209,9838.97,9995.0,9838.97,9995.0,3994.271911,3994.271911,2,39823768.44293456,9749.005266612308,9888.098329190703,9609.912204033913,-1.0,0.018929975706752034,0.02357237511802568,0.024865419123301757,0.023025494266144086,0.023684547433107106,0.018753033240249906,0.0031314952637653366,0.26184543339339406,0.004444380165818416,-0.21512889306083233,0.052125167813417556,0.16179372492812255,0.004545803733089215,0.0012624685803501734,-0.0017968978134490499,0.0006440122697544126,0.00216339337135274,9799.7242857143,9747.698666666784,94.0,100.0,98.352428747276,64.33784165047652,224.22253224210186,-0.0,1.0
39882,2020-07-26 10:05:00,286210,10069.06,10069.06,10069.06,10069.06,3269.223578,3269.223578,1,32918008.36029668,9778.101151465735,9971.978177453613,9584.224125477856,-1.0,0.007409704852426202,0.02647994609202886,0.031156744312747175,0.03245936939246352,0.030605811235163705,0.007382387847062688,0.0032558287746948652,0.3770426869063642,0.10098845412860989,-0.21103156745408072,-0.00789262060025851,0.16366993231823984,0.018753033240249906,0.004545803733089215,0.0012624685803501734,-0.0017968978134490499,0.0006440122697544126,9846.3542857143,9773.97533333345,95.0,100.0,99.99999999999864,66.77686369887319,217.5190626078563,-0.0,1.0
39883,2020-07-26 10:10:00,286211,9976.67,9976.67,9976.67,9976.67,2050.483856,0.0,1,20457000.77163952,9796.15286496885,10000.773803361953,9591.531926575746,-1.0,-0.009175633077963541,-0.0018339169584792314,0.017061342744800756,0.021695228381065856,0.022985901051012503,-0.009217988490053841,0.003561920416970992,0.21562713596258481,-0.28415795194242477,-0.3185520028241306,-0.04008299252731903,0.22583363034252377,0.007382387847062688,0.018753033240249906,0.004545803733089215,0.0012624685803501734,-0.0017968978134490499,9876.771428571443,9793.428666666785,72.0,75.83437957731756,91.94479319243783,67.8480611298055,131.25960419080968,-24.165620422682434,1.0
39928,2020-07-27 00:50:00,286387,10024.98,10024.98,10024.98,10024.98,788.814677,788.814677,1,7907851.360631458,9935.669985268823,10012.474190889174,9858.865779648473,-1.0,0.0015965630932159858,0.006249297380634955,0.009313896744717054,0.009378936208130684,0.009284428497215114,0.0015952899412923216,0.0038537372273965594,0.21517767621731346,-0.21974535100564332,-0.03289953650222809,-0.011216005167019632,0.04551158971029693,0.004634561553830352,0.0030409383686116342,6.443720646842621e-05,-9.363394871719777e-05,-0.000428791870396239,9961.540000000008,9923.39000000012,78.0,100.0,99.99999999999862,51.05814291494944,176.946734675026,-0.0,1.0
39929,2020-07-27 01:00:00,286389,9972.98,9999.59,9972.98,9999.59,860.0357140000001,317.704453,2,8585573.09050205,9941.480895698929,10019.968865814608,9862.99292558325,-1.0,-0.0025326733818920033,-0.000940153861524573,0.003700796569611642,0.006757634304458193,0.006822509044154046,-0.002535886024650935,0.003876797351934478,0.20771099726203637,-0.34869301330406105,-0.062285772125921436,0.008896790384990541,0.04849989640170163,0.0015952899412923216,0.004634561553830352,0.0030409383686116342,6.443720646842621e-05,-9.363394871719777e-05,9970.478571428579,9930.630666666784,54.0,85.19360858409173,95.06453619469586,52.28688876384256,107.11237020228437,-14.80639141590826,1.0
