,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,avg,upper,lower,side,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,rsi,srsi,sma
15925,2019-05-26 19:40:00,163688,8340.01,8340.01,8340.01,8340.01,1131.1647,0.0,1,9433924.909647,8071.662644113788,8331.280201917627,7812.045086309948,-1.0,-0.007349650549408726,0.0069046532461167764,0.021870952801626098,0.038865221723966226,0.047389942556884224,-0.007376792301039714,0.004824931802045471,0.4143756989766099,0.23345980390635607,-0.051951169506152174,0.013887260940823702,-0.16004922826703477,0.014257717588535002,0.014754289247042252,0.016493769942075076,0.008172316046172412,0.002326047360964978,8160.131428571519,8035.167999999976,81.0,50.739014046778394,1.0
15926,2019-05-26 19:50:00,163690,8372.55,8432.86,8372.55,8432.86,1104.153814,1104.153814,2,9277173.6395805,8104.498767376171,8399.026562709198,7809.970972043144,-1.0,0.01113308017616288,0.003701605377920858,0.018114603480457347,0.03324752404885856,0.05043099152964636,0.011071563597297995,0.005018411171942515,0.3199974539508638,0.32481537243460523,0.0925509841130066,0.18588873875806392,-0.015891347712592648,-0.007376792301039714,0.014257717588535002,0.014754289247042252,0.016493769942075076,0.008172316046172412,8229.945714285805,8067.844666666642,84.0,54.37636556035791,1.0
15927,2019-05-26 19:55:00,163691,8480.0,8480.0,8480.0,8480.0,1134.514618,1134.514618,1,9620683.96064,8138.635243069246,8464.811198481373,7812.459287657118,-1.0,0.005590037069274079,0.016785351576316998,0.009312334558473356,0.023805901854682343,0.03902341601002757,0.005574470795810527,0.005045320958571594,0.33732095542215235,0.2793832529987208,0.13443786061908697,0.20742617783518172,0.07608996455860753,0.011071563597297995,-0.007376792301039714,0.014257717588535002,0.014754289247042252,0.016493769942075076,8303.85142857152,8106.511333333309,86.0,58.30140549698779,1.0
15928,2019-05-26 20:00:00,163692,8582.52,8582.52,8582.52,8582.52,1130.885518,1130.885518,1,9705847.57594536,8178.988402790224,8546.669359050857,7811.307446529592,-1.0,0.012089622641509479,0.017747241149503212,0.029077902784289344,0.02151453981070639,0.03618332886625586,0.012017126866515682,0.005264808524315098,0.3554256330312418,0.33937923744335663,0.040554401428537834,0.3078910692439988,0.20587370053901427,0.005574470795810527,0.011071563597297995,-0.007376792301039714,0.014257717588535002,0.014754289247042252,8383.068571428663,8153.191999999976,89.0,61.89517851947075,1.0
15929,2019-05-26 20:05:00,163693,8534.72,8534.72,8534.72,8534.72,1607.493203,0.0,1,13719504.389508158,8211.327638900204,8595.52419579871,7827.131082001699,-1.0,-0.005569459785704112,0.006452830188679259,0.01207893881790989,0.02334649478837547,0.015825255660718573,-0.005585027054616276,0.0053568583871506995,0.2806518648798269,0.30890605142393907,-0.012985139754347537,0.339726494248806,0.11719798661693051,0.012017126866515682,0.005574470795810527,0.011071563597297995,-0.007376792301039714,0.014257717588535002,8436.384285714377,8194.974666666643,80.0,64.69121294936632,1.0
16009,2019-05-28 06:50:00,164110,8681.93,8709.41,8681.93,8688.4,854.3055929999998,668.13451,6,7429122.76440261,8736.181789235363,8814.734510682494,8657.629067788232,1.0,0.0032840798340869615,-0.005063772384462095,-0.0054100090891816555,-0.008152003296875154,-0.007551536293864625,0.003278699021370457,0.004385305653556239,-0.013646356050109417,-0.017236615306003455,-0.11059685955320003,-0.023380710873433335,0.13175250014699513,-0.00835533574765357,-0.00034805945756488654,-0.0027607163841132376,0.0006052190620913223,-0.0016526382624100222,8728.564285714372,8748.693999999976,32.0,48.15462696719286,-1.0
16020,2019-05-28 13:50:00,164194,8638.93,8641.31,8638.93,8641.14,947.715388,778.803928,4,8188455.936352692,8697.740902749047,8778.795072841376,8616.686732656717,1.0,0.0036237186321854686,-0.0016025400317273286,-0.006270937144578936,-0.011529490627355865,-0.006705006167042393,0.003617168782263036,0.004694026308283096,-0.01736050643184281,-0.10244772615840077,-0.12746238563460993,-0.011329737246208539,0.18029637926243944,-0.005220994254763411,-0.00468685658777801,-0.005305788471300588,0.004868884823448383,0.0052520178788348915,8671.008571428656,8689.452666666644,40.0,41.408105912013475,-1.0
16038,2019-05-29 03:25:00,164357,8639.49,8658.0,8631.43,8658.0,938.3559020000004,605.425279,11,8115027.25338618,8684.33015542534,8740.144812998991,8628.515497851688,1.0,0.002685641027422747,0.000269187711638752,-0.0035895175499672805,-0.004465989945773408,-0.004026227999539889,0.002682041137459734,0.004084904266566891,-0.04902515671642176,-0.17449973082312464,-0.41662532539533426,0.04452066632082006,0.22801072464024666,-0.002412889650333483,-0.0038651268133804706,-0.0008800169439133754,0.000441637193029365,-0.003416451078727789,8678.608571428662,8688.167333333311,34.0,45.89791897916281,-1.0
16040,2019-05-29 04:30:00,164370,8614.51,8614.51,8547.46,8547.46,888.558859,295.512519,3,7620811.76758869,8664.338640847389,8749.677963816628,8578.99931787815,1.0,-0.005298504944146409,-0.012767382767382873,-0.01011603034693298,-0.012501631878294894,-0.01631107157283951,-0.0053125918030279,0.004207243035447268,-0.02362792717728375,-0.111785913230374,-0.3094392552946372,0.07835123982452981,0.20318011263479632,-0.007536994427306709,0.002682041137459734,-0.002412889650333483,-0.0038651268133804706,-0.0008800169439133754,8639.28000000009,8675.742666666647,19.0,43.60286984921139,-1.0
16041,2019-05-29 04:55:00,164375,8563.24,8585.33,8563.24,8572.45,907.642657,695.9576360000002,5,7777898.397059182,8655.985128043081,8746.920861396673,8565.04939468949,1.0,0.002923675571456563,-0.0023903204821603685,-0.009881034881034756,-0.00722193076628197,-0.009614507022564278,0.002919409944217577,0.004116601098053575,-0.10298309232003673,-0.15073719188418502,-0.28250843889025823,0.08119888228258978,0.15717582464237687,-0.0053125918030279,-0.007536994427306709,0.002682041137459734,-0.002412889650333483,-0.0038651268133804706,8621.510000000091,8663.540666666648,19.0,42.547344410656926,-1.0
