,side,log_ret,mom1,mom2,mom3,mom4,mom5,volatility_50,volatility_31,volatility_15,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5
2018-01-16 11:00:00.000,-1.0,-0.04938194507663329,-0.048182481751824824,-0.1746846499028475,-0.1798805031446541,-0.24323461647834443,-0.26249915164129134,0.03745743388176941,0.042182142896988864,0.044100823791439425,0.01755108014983734,0.18683238476570466,0.1107547174285171,0.07022222199310688,-0.06556569199916586,-0.1426077780648889,-0.006315498327218005,-0.0803967814116393,-0.025786037571550846,-0.012298784637332805
2018-04-02 15:00:00.000,1.0,-0.02031003546618937,-0.020105175941426134,-0.004295532646048206,-0.004295532646048206,-0.002624671916010457,0.016666666666666607,0.014872416951874474,0.0139342998040786,0.011708479957637088,-0.15738961200497883,-0.12097252789736582,0.1409730912565129,0.022398537409337074,-0.22677110656560492,0.01600525051455781,0.0,0.0016766625453619177,0.019157424357480135,0.010333913183394383
2019-01-14 15:00:00.000,-1.0,0.01702529511614781,0.017171051459717424,0.004662209711470799,0.009171879970310659,0.03516722559593943,0.054570637119113474,0.018214736399975034,0.014604049042050635,0.017747368542425007,-0.11213347638812289,-0.05157849647752166,-0.16449233358799034,0.11043228170658942,-0.02130521368494288,-0.012373919842477266,0.004478698439096984,0.025432910577533496,0.018570720765269666,-0.016974232699178637
2018-01-23 23:00:00.000,1.0,-0.008880710700870154,-0.008841393663421848,0.009015709874456102,-0.011766004415011078,0.0007526080476900621,-0.020551491769922547,0.02783214836727822,0.02979430160890095,0.028063823790399553,-0.13359075290988215,0.21594937560150307,-0.14376963284465835,-0.019443042154388555,0.05410575047644051,0.017856021697870705,-0.02081108263624687,0.012588096619516875,-0.021517937403148224,0.06574550074866359
2019-05-15 02:00:00.000,-1.0,0.01630214727036261,0.01643575230210348,0.017239265619121147,0.027775404906717593,0.03517239895893831,0.05540838077526988,0.011872340471139269,0.011469792809181504,0.010285928642214792,0.06317793029306709,-0.10741752956274275,0.33835155922169463,-0.03359319088735096,-0.1863440766941331,0.0007902082208302019,0.010304309954846769,0.0071713164426627785,0.019359800921265435,-0.0021774712706315036
2018-03-28 09:00:00.000,1.0,-0.0016792473493874027,-0.00167783820243661,-0.009071888860992638,0.008783812566560023,0.012891470414631456,0.02516017316017316,0.022523680568053064,0.01843119405349983,0.016003142190271484,0.01621846904909529,0.017998708322802218,-0.1596587420076673,-0.19088163698186603,-0.19028066315447698,-0.007434041670662861,0.017858748333235752,0.004063623406924233,0.012039784159654232,0.006802304080086863
2019-07-16 13:00:00.000,-1.0,-0.016420412572142773,-0.01628633248419864,-0.013239769916676747,-0.006623015517086772,-0.019588472120420253,-0.011390050309031063,0.016086979770502465,0.01388082248949166,0.012258709179366153,0.024560295637416945,-0.16580251725061537,-0.32533982714010895,0.061669941219039064,0.06089084699598427,0.003092215531283582,0.006683152034863582,-0.01313782404820829,0.008327455319698363,-0.0009814191393595628
2019-02-04 05:00:00.000,-1.0,0.00672805761507278,0.006750741839762542,0.0055572021339656,0.016508621335370677,0.021897260583424893,0.0008702578323205312,0.00840651706300042,0.007283288980858082,0.007554684373468102,-0.23815137630163494,0.046689471785851915,-0.0033301273792563937,-0.22474175239928976,0.017911477887789164,-0.001186239759506158,0.01083201758712704,0.0052871234806926015,-0.020791079545860125,-0.004474016999658659
2018-05-30 12:00:00.000,1.0,0.007851233934532242,0.0078821356910459,0.013301292355172745,0.004741640368493227,0.008220645976441565,-0.0048306509538956766,0.011746991075834264,0.012610472562943032,0.00988023534918979,-0.1427306032500383,-0.06885670237223482,0.09380020966435756,-0.15171503497738198,0.18032504642029468,0.005362372929242465,-0.008483172662193006,0.003456606311518673,-0.013029396772693325,-0.0008678775417325646
2018-01-16 03:00:00.000,-1.0,0.030477809341005635,0.030947012401353113,0.011559734513274522,-0.05432377091563423,-0.08577855536115964,-0.0795069632134966,0.030423756651221597,0.03221789901911624,0.038836213075021976,-0.11272390302116657,-0.0004393539585694141,-0.03986630422500387,0.029734518750988002,0.07732598918022428,-0.018984378082596898,-0.06734845232396403,-0.033827435021204,0.0068366131500159355,0.000286924548363654
2019-05-09 06:00:00.000,-1.0,-0.0029004956048424013,-0.002896293231435698,-0.017935478303392816,-0.01023874293942273,0.007684058284713746,-0.003235930999245684,0.014780476006167336,0.018177725380489642,0.011019736230937075,-0.0618177099714614,-0.44950200469252,0.030160198708914294,0.17221824059639362,-0.08861622712674855,-0.015197772805902954,0.007806748990560219,0.01794620569722838,-0.010895864223234852,-0.00566746952222319
2018-03-07 15:00:00.000,-1.0,-0.003657670607193353,-0.003650989478329869,0.019887472022012798,0.059449024647774795,0.05942642620223326,0.052322132293741275,0.013026719464253381,0.015178254351623078,0.01898225284920312,0.16696572433118503,-0.04610566670598589,0.05703716779269215,-0.014545993102517531,-0.2109466291023482,0.023349970270457376,0.03805668525592676,-2.133060301723333e-05,-0.006728377468490088,-0.010779020677470275
2019-02-08 09:00:00.000,1.0,0.008012154482458733,0.008044337687033831,-0.004915218653131492,-0.0031794338875693606,0.01231233117658137,0.01598850038458144,0.013271254832550134,0.010095640344519168,0.010834525220822235,0.035862796317306864,0.029232359722477574,-0.015920093012142252,0.09309588406730704,-0.12295508126072217,-0.012939492552158427,0.0017428390431750707,0.015421649920926761,0.003624879678720383,0.01980212292720962
2018-11-19 22:00:00.000,-1.0,0.005233419008322082,0.005247137266270574,0.0,-0.03895348031539714,-0.05045387954050684,-0.07283422459893052,0.019243464425241105,0.019632217175705822,0.020082335653814887,-0.09852631500170994,0.09788761845292947,0.07754319941995971,-0.048872403077094645,-0.08715187851872637,-0.005233419008322082,-0.03973246360322169,-0.012038712889170577,-0.023851722921699903,-0.05154927766381645
2017-12-26 16:00:00.000,1.0,0.03831640874875797,0.03905994852970007,0.0696188913692477,0.059093753744956734,0.11363286336334233,0.12278200477124823,0.07401089690247349,0.060499674395510836,0.046855917214675795,-0.11016494340306252,-0.3822678336801781,0.026698957094906224,0.49818009292991366,-0.028751409991015015,0.028985999988793587,-0.009888815588375177,0.050213927935945035,0.00818201719125744,-0.07058484294765566
2019-03-24 16:00:00.000,1.0,-0.0058065154667397145,-0.005789690236877587,-0.01911947205437181,0.006707614660333983,-0.007376673982699589,0.0030837657524092066,0.013457931758383253,0.016397075823038596,0.022834217711347183,0.3388798440032441,0.1657682778269108,0.011123858636693846,0.08234463864667502,-0.07599955819071427,-0.013498097354696537,0.025989831527726714,-0.014089234894521852,0.010483036887617647,0.021731840627339682
2018-02-16 23:00:00.000,1.0,0.008804064208884466,0.008842933969063438,0.012050538102874375,0.0010727842878361926,0.003566471491208034,-0.002858656340189225,0.018180082149735235,0.015964464260797107,0.014969230706612546,-0.2678081020474715,-0.13639880847481983,0.06871733058484099,0.1228668991300531,-0.187323008361994,0.003174444246319741,-0.010906299189219038,0.0024879174469463194,-0.006422876814789369,0.014692955239430372
2018-03-18 21:00:00.000,-1.0,0.03165436391069498,0.032160691659834706,0.02430996437332822,0.024410992343825155,0.05949633407714394,0.0448938016373035,0.015029090101539525,0.017343021664426642,0.018265729863031096,-0.14506571715771607,-0.10756170675013776,0.24150885362152397,-0.1969925805422653,-0.2609377528068996,-0.00763518351432646,9.862540845073653e-05,0.03367583286552378,-0.013878383645222758,-0.026996143763565517
