timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-05-24,12.49970000,13.19470000,12.10000000,13.02880000,1576180.03000000,1527206399999,20037253.75353100,45522,851494.72000000,10836922.89224500,0
2018-05-25,13.02550000,13.37890000,12.56270000,13.01290000,1316638.08000000,1527292799999,17063650.32573500,33280,650945.13000000,8448578.06358100,0
2018-05-26,13.01290000,13.28300000,12.64110000,12.78880000,1215820.52000000,1527379199999,15801577.02171300,20881,626289.42000000,8143506.50761900,0
2018-05-27,12.75610000,12.80000000,12.28560000,12.60460000,1071651.59000000,1527465599999,13519380.34381500,20952,536149.99000000,6758495.36331200,0
2018-05-28,12.59600000,12.75000000,11.61100000,11.91790000,936828.03000000,1527551999999,11420576.01177600,24655,428517.17000000,5232781.01707700,0
2018-05-29,11.89200000,12.70000000,11.66010000,12.60730000,1469580.43000000,1527638399999,18092196.27775600,33316,855489.75000000,10540704.59286100,0
2018-05-30,12.59470000,12.79270000,12.17000000,12.61990000,1299596.87000000,1527724799999,16280445.89198400,31918,765395.40000000,9592454.34219400,0
2018-05-31,12.60800000,14.30200000,12.38000000,14.20000000,2725397.09000000,1527811199999,37070312.43744100,60802,1496938.51000000,20412635.72217500,0
2018-06-01,14.19190000,14.46700000,13.76000000,14.28880000,2320553.13000000,1527897599999,32653012.96911600,40264,1394054.87000000,19617704.72388400,0
2018-06-02,14.25030000,14.88200000,14.00000000,14.67320000,2358996.40000000,1527983999999,34189301.51541900,37491,1475563.91000000,21401164.67978700,0
2018-06-03,14.67850000,15.02540000,14.26570000,14.69950000,2237218.88000000,1528070399999,32934034.52540500,36772,1466410.30000000,21590235.61231400,0
2018-06-04,14.66600000,14.74300000,13.59000000,14.26360000,1575290.65000000,1528156799999,22251821.25858600,35922,814855.07000000,11542736.47155900,0
2018-06-05,14.26350000,15.71100000,14.13280000,15.61560000,2607589.16000000,1528243199999,38768714.54468000,55720,1444130.66000000,21458881.05108700,0
2018-06-06,15.61560000,17.47670000,15.23000000,17.27500000,3866321.80000000,1528329599999,63980353.44343000,92904,2000012.43000000,33092046.14827200,0
2018-06-07,17.25120000,17.44000000,16.11000000,16.27910000,3248655.04000000,1528415999999,54757849.32637700,62706,1865376.77000000,31512057.52324600,0
2018-06-08,16.28000000,16.65790000,15.72000000,16.22920000,2536838.57000000,1528502399999,41055574.70056200,54444,1340224.96000000,21694652.15226200,0
2018-06-09,16.22920000,16.90600000,15.86900000,16.01880000,2334912.18000000,1528588799999,38368117.18382500,40154,1485041.10000000,24429533.96270900,0
2018-06-10,16.01920000,16.11990000,13.40000000,14.18000000,2579153.65000000,1528675199999,37827121.59570900,73888,1139855.98000000,16762356.31057900,0
2018-06-11,14.18000000,15.48000000,13.67120000,15.47000000,2472371.47000000,1528761599999,36064581.53894800,60088,1336767.31000000,19523541.74378600,0
2018-06-12,15.47000000,16.16000000,14.86000000,15.22630000,3485152.76000000,1528847999999,53983333.33513700,87861,1802389.90000000,27921425.87307700,0
2018-06-13,15.22650000,15.85000000,13.69240000,14.58880000,3148409.74000000,1528934399999,46815488.32828400,79008,1529762.15000000,22781348.74063600,0
2018-06-14,14.57940000,15.20000000,14.00000000,14.86700000,2693075.27000000,1529020799999,39482057.01054900,73167,1374601.59000000,20167705.21131400,0
2018-06-15,14.86700000,15.65000000,14.60200000,14.98950000,2572848.48000000,1529107199999,38907490.48116500,61009,1437298.75000000,21750172.08763400,0
