,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,avg,upper,lower,side,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,sma
29842,2020-02-20 16:50:00,241172,9635.49,9635.49,9635.49,9635.49,744.6573530000001,0.0,1,7175138.478257969,9582.348364803094,9660.607214913533,9504.089514692656,-1.0,-0.0029542510171730596,0.005549810014495504,0.017701937812965696,0.009704617473970112,0.008231817696681576,-0.0029586234303042858,0.0033589336948172126,-0.13806430496101654,-0.045304502968638985,-0.16002692224547016,-0.25730812676558357,0.063127138839314,0.008493089991855385,0.012012616762598682,-0.007889253191711632,-0.0014597090504278043,-0.0018232117403744752,9574.812857142968,9578.028666666654,-1.0
29856,2020-02-20 22:35:00,241241,9631.15,9634.12,9600.17,9602.48,756.041695,234.66172200000003,4,7265868.742548889,9574.631450502235,9646.98422013138,9502.278680873089,-1.0,-0.0060573439602525925,0.0007587126896779761,0.0027851429800715977,0.0038093087630826084,0.006376262361606599,-0.006075764090558877,0.0035515612820855827,-0.04741652417689904,-0.11882818685638653,-0.07146679570892646,-0.31963116853337153,-0.07827955141223845,0.0068341891032641655,0.00202284664311847,0.0010208000635660852,0.0025539482828609295,0.0015543995670288524,9581.284285714393,9567.759333333323,1.0
29865,2020-02-21 03:35:00,241301,9690.41,9711.51,9690.41,9711.51,736.275585,736.275585,2,7143455.18531525,9614.391943824445,9700.165167569923,9528.618720078966,-1.0,0.002827306118360795,0.009528215096908932,0.0063177811811565565,0.0071432793750254575,0.008914676335227467,0.002823316805985243,0.0037014082165358103,-0.055194996051192206,-0.09867994084381118,-0.10363057678455946,-0.25218187758151117,0.009966669228992614,0.00665979115012405,-0.003185200294037571,0.0008199793443175452,0.0017572881881040558,0.002289205181430276,9648.29285714297,9617.031999999996,1.0
29866,2020-02-21 03:55:00,241305,9694.87,9708.17,9683.45,9708.17,786.706228,223.216198,4,7627757.51756428,9622.917221658585,9714.597629117654,9531.236814199516,-1.0,-0.00034392180000841766,0.0024824119461428484,0.009181016336013537,0.0059716865584722445,0.006796900845516207,-0.0003439809546730288,0.003690514319665963,-0.04800136637983448,-0.10464766389047041,-0.09075123320854452,-0.2550349131088295,0.000698425510452016,0.002823316805985243,0.00665979115012405,-0.003185200294037571,0.0008199793443175452,0.0017572881881040558,9663.218571428684,9628.133999999996,1.0
29885,2020-02-21 12:25:00,241407,9728.01,9754.92,9728.01,9754.92,742.446895,543.4687690000001,4,7232043.21209108,9673.950593929934,9748.001959373936,9599.899228485932,-1.0,0.0016387786786269398,0.005753099250241256,0.005984392934229588,0.00795417206554272,0.010148163182464032,0.0016374373460799063,0.003650806366319199,-0.004421019885626779,-0.13325853233858187,-0.0682806308559528,-0.3067475664853499,0.004315713756303344,0.004099176028368845,0.0002299442008766306,0.001956146819630078,0.00217431191963513,-0.0003095746065859828,9697.808571428683,9674.757999999993,1.0
29886,2020-02-21 12:45:00,241411,9744.52,9744.52,9726.15,9726.15,809.056869,0.0,4,7879825.118929922,9678.695994481759,9752.973194734472,9604.418794229046,-1.0,-0.0029492809782141194,-0.0013153355183714854,0.002786850765842619,0.003017462299768292,0.004981431998958286,-0.0029536386775212975,0.0036715423441250426,-0.017170205188585266,-0.15614828306251954,-0.09594721618192441,-0.3192025420532125,0.02009985839306102,0.0016374373460799063,0.004099176028368845,0.0002299442008766306,0.001956146819630078,0.00217431191963513,9707.271428571537,9678.202666666657,1.0
29902,2020-02-21 20:15:00,241501,9656.17,9656.17,9619.52,9619.52,787.446614,448.516166,3,7593545.015577701,9686.312459066983,9751.557253462923,9621.067664671044,1.0,0.00047009880395210146,-0.006404979378259457,-0.00923149812290458,-0.010059409690170162,-0.010028846440814254,0.0004699883421270812,0.0027508669620427855,-0.030336024496858495,-0.045822472704418846,-0.20764040225595803,-0.01599059609182865,0.23074073532725253,-0.006895567609156217,-0.002848793201627231,-0.0008359749735546984,3.0873345190585155e-05,-0.0012650262097242404,9684.10142857154,9697.998666666652,-1.0
29903,2020-02-21 20:35:00,241505,9615.69,9662.52,9615.69,9662.52,749.320692,482.072839,4,7221993.819976022,9684.149508242712,9747.24007791181,9621.058938573613,1.0,0.004470077509064918,0.004942277691107666,-0.0019635326234593853,-0.0048026861259738984,-0.005634298522115833,0.004460116386226787,0.002816290936966441,-0.0301406027940923,-0.14905618445045166,-0.2404599327991902,-0.03208570534622711,0.2316919132624244,0.0004699883421270812,-0.006895567609156217,-0.002848793201627231,-0.0008359749735546984,3.0873345190585155e-05,9674.565714285825,9695.12666666665,-1.0
29916,2020-02-22 06:05:00,241619,9608.29,9613.52,9562.45,9562.45,766.2416599999999,252.826413,4,7343902.388243681,9653.33979434028,9722.921170895299,9583.75841778526,1.0,-0.004305587371665198,-0.006031923563065367,-0.009016057910036346,-0.010402598786915296,-0.008685258385918493,-0.004314883104962419,0.002542521338336039,0.15727167988704108,-0.3291841543368807,-0.23986758526722393,0.13466268603314452,0.3292711311205026,-0.0017353059969682505,-0.0030067594252294327,-0.0014001354784838327,0.0017338889434963534,-0.0024259831145485578,9630.720000000108,9650.443333333325,-1.0
29917,2020-02-22 06:45:00,241627,9573.0,9610.69,9572.3,9610.69,787.9324310000002,611.4657639999999,8,7552386.55906501,9649.462540309347,9718.430521146876,9580.494559471817,1.0,0.005044732260037987,0.0007174243528604851,-0.00101762074241607,-0.004016809248195474,-0.005410344852565863,0.005032050231990937,0.002651688638559503,0.08107956771692398,-0.3398709674053208,-0.2742883416553334,0.10989860379167528,0.3472559886520643,-0.004314883104962419,-0.0017353059969682505,-0.0030067594252294327,-0.0014001354784838327,0.0017338889434963534,9622.295714285823,9649.854666666659,-1.0
29944,2020-02-23 03:55:00,241881,9792.5,9792.5,9787.08,9787.08,853.8552099999998,510.128196,2,8359514.14350912,9676.094108978852,9750.957696729467,9601.230521228237,-1.0,0.003969890381786634,0.010852085465724581,0.01247610298681634,0.011454862632592766,0.013962460799539222,0.00396203116026328,0.002793420350726923,0.07783408839791248,-0.17758628779433883,-0.27660887896007014,0.08672641627895442,0.2374518939874388,0.006831592997100344,0.001605293574332478,-0.0010091652909522963,0.002476131135205506,-0.0012869461657540882,9696.748571428683,9672.22999999999,1.0
29945,2020-02-23 04:00:00,241882,9894.09,9894.09,9894.09,9894.09,1884.147635,1884.147635,1,18641926.27397715,9695.911917253501,9815.80213634396,9576.021698163042,-1.0,0.010933802523326763,0.014947098902587053,0.021904542548499828,0.02354631675646157,0.02251391036187611,0.010874460667432473,0.0031637255167746756,0.17378658465827568,0.01990694535556742,-0.19766054873890362,0.046319918340237486,0.26564767626714647,0.00396203116026328,0.006831592997100344,0.001605293574332478,-0.0010091652909522963,0.002476131135205506,9729.512857142967,9690.563333333324,1.0
29946,2020-02-23 04:10:00,241884,9871.4,9878.26,9871.4,9878.26,1003.762805,405.171678,2,9911323.63098808,9712.489015685,9852.342948037007,9572.635083332993,-1.0,-0.001599945017682236,0.009316364022772916,0.013323239348486782,0.020269551467102298,0.021908698926599968,-0.001601226296545022,0.003159993707646426,0.11844099291247952,0.0037483270366600405,-0.2107321658729434,0.0607109059156639,0.3449004891175879,0.010874460667432473,0.00396203116026328,0.006831592997100344,0.001605293574332478,-0.0010091652909522963,9761.791428571538,9708.28199999999,1.0
29947,2020-02-23 04:20:00,241886,9879.42,9879.42,9875.18,9875.18,770.3492229999998,376.138265,2,7608932.06622874,9727.27910516818,9878.768089105857,9575.790121230502,-1.0,-0.00031179580209472757,-0.0019112419636369005,0.009001663417485206,0.013007289416292922,0.01995143570394986,-0.0003118444205121307,0.0031532030883982733,0.11983061287680179,-0.014878015338744685,-0.22618489139688494,0.02182871202427229,0.3389730555653574,-0.001601226296545022,0.010874460667432473,0.00396203116026328,0.006831592997100344,0.001605293574332478,9790.211428571536,9722.861333333325,1.0
29982,2020-02-23 23:15:00,242113,9905.07,9908.43,9905.07,9908.43,723.7796539999998,210.79887599999998,2,7169796.42166914,9880.583014744845,9952.406638541896,9808.759390947795,-1.0,-0.0055810695260155585,-0.00015237226461517484,0.003967871990532279,0.00462749384301997,0.003892599906180516,-0.005596701885197675,0.002916271628745048,0.05052377197630674,0.0659487237444049,-0.13137975097634724,-0.19561976620341562,-0.09241252245503319,0.005444318010749072,0.004112404622544474,0.0006567991616641677,-0.0007317765671572829,-0.002237613984448217,9896.657142857252,9882.833999999993,1.0
29992,2020-02-24 02:45:00,242155,9740.0,9763.87,9740.0,9763.87,1265.359287,1265.359287,2,12337968.82272826,9876.213617830266,9991.82281752592,9760.604418134613,1.0,0.004045439728192601,-0.01049212558526047,-0.013134461714484291,-0.013188321427560767,-0.018318793252008025,0.004037278938811895,0.003909841847200858,-0.057573652953984346,0.17497671267780865,-0.011229708428191832,0.01185458247059049,-0.12044255529132065,-0.014584834936533397,-0.002673925571562208,-5.457803599284716e-05,-0.005212600441138804,-0.0038183325126031065,9867.73857142868,9896.579333333326,-1.0
30026,2020-02-24 17:15:00,242329,9612.98,9642.37,9612.98,9642.37,763.3858419999998,311.020182,2,7347553.714578141,9720.896382312172,9819.577485313199,9622.215279311145,1.0,0.0018910721651841378,-0.002107064980600648,-0.0028005729384814604,-0.007968254556154242,-0.00641754210610368,0.00188928633927965,0.003751523133273894,-0.19746462035948134,-0.012019336316488168,0.11286879579469385,-0.0858627244274921,0.047910388061961524,-0.003998574304494795,-0.0006952139148985736,-0.005195668873696491,0.001561947696297139,0.00015869940716939368,9675.185714285824,9723.137999999997,-1.0
30030,2020-02-24 18:05:00,242339,9498.4,9498.4,9498.4,9498.4,856.748436,0.0,1,8137739.344502401,9666.906415075591,9820.05148713529,9513.761343015893,1.0,-0.001467564305808522,-0.009796327706291685,-0.01266906992312089,-0.014930976513035765,-0.01306813990193445,-0.0014686422330516535,0.0038593907022506425,-0.21079723147503765,0.03776911455631313,0.08327395751760397,-0.010747592917935252,0.011267675640868374,-0.00837598519027516,-0.0029053794903752816,-0.0022935587454000483,0.00188928633927965,-0.003998574304494795,9593.240000000109,9665.403999999999,-1.0
30031,2020-02-24 18:15:00,242341,9519.48,9519.48,9511.75,9511.75,1198.1350869999999,666.892781,2,11401516.49496938,9652.801286432355,9814.113370092042,9491.48920277267,1.0,0.0014054998736630075,-6.412709359193691e-05,-0.00840459656998227,-0.011281376425634204,-0.013546462124975567,0.0014045130832300856,0.0037661263300382453,-0.17766091310201243,-0.04665782815125793,0.1053896915827258,-0.08304848666905072,0.0038989591969176484,-0.0014686422330516535,-0.00837598519027516,-0.0029053794903752816,-0.0022935587454000483,0.00188928633927965,9571.671428571539,9645.434666666664,-1.0
30077,2020-02-25 14:35:00,242585,9455.73,9455.73,9419.59,9419.59,2071.173438,0.0,3,19527297.15591688,9554.738999504701,9650.776234665776,9458.701764343627,1.0,-0.0064205745290839555,-0.01118086100292881,-0.017098226630284596,-0.01663647894602238,-0.01957500577664073,-0.006441275071548347,0.0031346000972127938,0.22669057492282035,0.23689694105548573,-0.20884318440978933,-0.22037337757530676,-0.13870978583305812,-0.004802561612654799,-0.006002252505068029,0.0004696697785995241,-0.0029927143385961585,-0.0016005652714348173,9545.608571428675,9561.589999999995,-1.0
30078,2020-02-25 14:45:00,242587,9399.38,9445.76,9399.38,9445.76,985.542185,598.368365,2,9291237.827614,9544.831817731545,9648.289679826104,9441.373955636986,1.0,0.002778252556639993,-0.003660159950044539,-0.008433671701955747,-0.014367477265494255,-0.013904446729547604,0.002774400346298833,0.0031456501904961773,0.14531998986499317,0.191523611327809,-0.23158683313186015,-0.19218922532188532,-0.12624091849326183,-0.006441275071548347,-0.004802561612654799,-0.006002252505068029,0.0004696697785995241,-0.0029927143385961585,9520.28142857153,9551.758666666661,-1.0
